,PERMNO,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,CUSIP,DLSTCD,NEXTDT,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,ACPERM,NWPERM,DLPRC,PRC,RET,SHROUT,CFACPR,OPENPRC,MARKETCAP,TAQ_TICKER,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
2005-01-03,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,10.0,-0.005964,19055.0,1.0,10.16,190550.0,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-04,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.72,-0.028,19055.0,1.0,10.0,185214.6,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-05,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.65,-0.007202,19055.0,1.0,9.82,183880.75,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-06,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.43,-0.022798,19055.0,1.0,9.65,179688.65,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-07,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.26,-0.018028,19055.0,1.0,9.4,176449.3,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-10,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.28,0.00216,19055.0,1.0,9.36,176830.4,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-11,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.02,-0.028017,19055.0,1.0,9.18,171876.1,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-12,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.19,0.018847,19055.0,1.0,9.12,175115.45,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-13,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.25,0.006529,19055.0,1.0,9.25,176258.75,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
2005-01-14,11483,,11,1,5192.0,00753T10,MKT,ADVANCED MARKETING SERVICES INC,MKT,422920.0,N,A,R,9315,1,5192.0,,,,51.0,519.0,,,,,,,9.5,0.027027,19055.0,1.0,9.35,181022.5,MKT,10.0,7.0,7.0,7.0,9.0,1,10.0,10.0,8.0,1.0,4.0,10.0,2.0,2.0,6.0,6.0,9.0,2.0,2.0,9.0,2.0,7.0,5.0,5.0,10.0,2.0,9.0,,2.0,2.0,4.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,,,,,10.0,4.0,6.0,3.0,10.0,,,4.0,1.0,6,10.0,10,1
